Feature ID	Taxon	Confidence
5b75e6541f733937c56e8874e69dcfe1	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus mutans	100
5d3b0067e81ed549b2d082fd7d1c905d	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus mutans	100
5fd2fe686298c1abbb25c0926788fd9c	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unclassified	67
601f48ebb8de230104ce2f01ec500ab5	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Alloprevotella; s__Alloprevotella sp004555055	99
61de72098cbf9f693f09c863d1c5a586	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas_A; s__Porphyromonas_A gingivalis	100
62c26e69cf275b3cba144ba4935a8851	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unclassified	38
7809550a0f7794b926ffcebad7542089	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__Clostridium_T beijerinckii	100
7932226c8cd025d2ea117b03d48f63e8	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__Clostridium_T beijerinckii	100
7983269916ac14fd4655f0a0c60f8694	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium; s__Cutibacterium acnes	100
7cf149ca79aa40a78b8cec6f966ce7de	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus mutans	100
7dcace79bc8188077e07b0085aa57b7f	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus anthracis	91
8348a732f75c6a0439af2ebffbac5ff1	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__Clostridium_T beijerinckii	100
883b42d8150d15b972b196ebd6e10559	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus mutans	100
8f0af3a2874a69b48d3d7b737c64f06e	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unclassified	34
913abfe7ecfd10c4eb54ea1dea67f07c	d__Bacteria; p__Campylobacterota_A; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter_E; s__Helicobacter_E pylori_CN	100
92bcc461c3dbfbeb88759ada02f95a6b	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unclassified	74
985d4a0d4d7e7d255af6a92044ae5901	d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus aureus	100
994cb47a2b400e6185743e1765244faf	d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus aureus	100
9eda36e35469eb0ba4b8045fa7acabd0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola_A; s__Phocaeicola_A vulgatus	100
