Feature.ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	boot.Kingdom	boot.Phylum	boot.Class	boot.Order	boot.Family	boot.Genus	boot.Species	Assignment
4bec1cb362f10c0518dae936b3032c6f	Bacteria	Bacillota_I	Bacilli_A	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	100	100	100	100	100	100	100	GreenGenes2
4c67b666ce2da2054aec0ba50dd1e494	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola_A	Phocaeicola_A vulgatus	100	100	100	100	100	100	100	GreenGenes2
51bf2b5ba471e475d319ebc31244d7d3	Bacteria	Bacillota_I	Bacilli_A	NA	NA	NA	NA	100	100	100	78	78	78	38	GreenGenes2
51d51e872348c3c5e3b70be7f91c4a32	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales_A_660879	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	100	100	100	100	100	100	100	GreenGenes2
5b75e6541f733937c56e8874e69dcfe1	Bacteria	Bacillota_I	Bacilli_A	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	100	GreenGenes2
5d3b0067e81ed549b2d082fd7d1c905d	Bacteria	Bacillota_I	Bacilli_A	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	100	GreenGenes2
5fd2fe686298c1abbb25c0926788fd9c	Bacteria	Bacillota_I	Bacilli_A	Bacillales_B_310392	Bacillaceae_G	Bacillus_A	NA	100	100	100	100	100	100	37	GreenGenes2
601f48ebb8de230104ce2f01ec500ab5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella sp004555055	100	99	99	99	99	99	99	GreenGenes2
61de72098cbf9f693f09c863d1c5a586	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas_A	Porphyromonas_A gingivalis	100	100	100	100	100	100	100	GreenGenes2
62c26e69cf275b3cba144ba4935a8851	Bacteria	Bacillota_I	Bacilli_A	Bacillales_B_310392	Bacillaceae_G	Bacillus_A	NA	100	100	100	100	100	100	74	GreenGenes2
7809550a0f7794b926ffcebad7542089	Bacteria	Bacillota_A_368345	Clostridia_258483	Clostridiales	Clostridiaceae_222000	Clostridium_T	Clostridium_T beijerinckii	100	100	100	100	100	100	100	GreenGenes2
7932226c8cd025d2ea117b03d48f63e8	Bacteria	Bacillota_A_368345	Clostridia_258483	Clostridiales	Clostridiaceae_222000	Clostridium_T	Clostridium_T beijerinckii	100	100	100	100	100	100	100	GreenGenes2
7983269916ac14fd4655f0a0c60f8694	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	100	100	100	100	100	100	100	GreenGenes2
7cf149ca79aa40a78b8cec6f966ce7de	Bacteria	Bacillota_I	Bacilli_A	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	100	GreenGenes2
7dcace79bc8188077e07b0085aa57b7f	Bacteria	Bacillota_I	Bacilli_A	Bacillales_B_310392	Bacillaceae_G	Bacillus_A	NA	100	100	100	100	100	100	82	GreenGenes2
8348a732f75c6a0439af2ebffbac5ff1	Bacteria	Bacillota_A_368345	Clostridia_258483	Clostridiales	Clostridiaceae_222000	Clostridium_T	Clostridium_T beijerinckii	100	100	100	100	100	100	100	GreenGenes2
883b42d8150d15b972b196ebd6e10559	Bacteria	Bacillota_I	Bacilli_A	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	100	GreenGenes2
8f0af3a2874a69b48d3d7b737c64f06e	Bacteria	Bacillota_I	Bacilli_A	Bacillales_B_310392	Bacillaceae_G	Bacillus_A	NA	100	100	100	100	100	100	66	GreenGenes2
913abfe7ecfd10c4eb54ea1dea67f07c	Bacteria	Campylobacterota_A	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter_E	Helicobacter_E pylori_CN	100	100	100	100	100	100	100	GreenGenes2
92bcc461c3dbfbeb88759ada02f95a6b	Bacteria	Bacillota_I	Bacilli_A	Bacillales_B_310392	Bacillaceae_G	Bacillus_A	NA	100	100	100	100	100	100	93	GreenGenes2
985d4a0d4d7e7d255af6a92044ae5901	Bacteria	Bacillota_I	Bacilli_A	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	100	100	100	100	100	100	100	GreenGenes2
