sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
16s_mas12_part_028	48946	36494	74.56	36004	35907	73.36
16s_mas12_part_038	48932	36556	74.71	36034	35985	73.54
16s_mas12_part_032	48931	36760	75.13	36288	36193	73.97
16s_mas12_part_109	48854	35644	72.96	35207	35092	71.83
16s_mas12_part_042	48899	36008	73.64	35481	35389	72.37
16s_mas12_part_039	48942	36577	74.74	36084	35985	73.53
16s_mas12_part_002	49067	37009	75.43	36552	36481	74.35
16s_mas12_part_003	48884	37010	75.71	36501	36388	74.44
16s_mas12_part_034	49021	37137	75.76	36660	36552	74.56
16s_mas12_part_043	48887	36165	73.98	35645	35577	72.77
16s_mas12_part_104	48857	35819	73.31	35318	35236	72.12
16s_mas12_part_052	48757	36118	74.08	35619	35535	72.88
16s_mas12_part_111	48843	35459	72.6	34904	34808	71.27
16s_mas12_part_049	48867	36365	74.42	35872	35763	73.18
16s_mas12_part_261	48904	36441	74.52	35977	35892	73.39
16s_mas12_part_027	48964	37063	75.69	36512	36447	74.44
16s_mas12_part_053	48901	36228	74.08	35694	35622	72.85
16s_mas12_part_050	48875	36549	74.78	36091	35980	73.62
16s_mas12_part_006	48934	36859	75.32	36369	36259	74.1
16s_mas12_part_044	48901	36555	74.75	36053	35950	73.52
16s_mas12_part_065	48838	36419	74.57	35885	35807	73.32
16s_mas12_part_160	48737	35111	72.04	34649	34584	70.96
16s_mas12_part_151	48863	35269	72.18	34810	34746	71.11
16s_mas12_part_072	48920	36156	73.91	35682	35599	72.77
16s_mas12_part_069	48969	36184	73.89	35639	35569	72.64
16s_mas12_part_165	48934	35621	72.79	35139	34975	71.47
16s_mas12_part_107	48765	35220	72.22	34705	34636	71.03
16s_mas12_part_047	48857	36106	73.9	35626	35560	72.78
16s_mas12_part_004	48977	36822	75.18	36312	36222	73.96
16s_mas12_part_060	48916	36733	75.09	36173	36115	73.83
16s_mas12_part_073	48844	35783	73.26	35305	35199	72.06
16s_mas12_part_054	48872	36362	74.4	35853	35787	73.23
16s_mas12_part_112	48843	35748	73.19	35215	35153	71.97
16s_mas12_part_192	48851	36102	73.9	35567	35532	72.74
16s_mas12_part_005	48985	36928	75.39	36422	36331	74.17
16s_mas12_part_007	48941	36811	75.22	36254	36194	73.95
16s_mas12_part_063	48889	36471	74.6	36018	35894	73.42
16s_mas12_part_070	48938	36694	74.98	36205	36084	73.73
16s_mas12_part_061	48807	36081	73.93	35622	35502	72.74
16s_mas12_part_086	48904	36327	74.28	35814	35748	73.1
